id,nazwa_usterki,opis_usterki,model_samochodu
78,Usterki elektryczne,Niesprawne szyby elektryczne,Volkswagen Tiguan
79,Problemy z amortyzacją,Tłumiki wydają nietypowe dźwięki,Honda Insight
80,Usterki w systemie chłodzenia,Wycieki płynu chłodniczego z pompy wodnej,Hyundai Venue
81,Problemy z skrzynią biegów,Trudności w wrzucaniu biegu wstecznego,Mazda Miata
82,Usterki w systemie paliwowym,Problemy z wtryskiem paliwa,Subaru BRZ
83,Problemy z silnikiem,Nierówna praca na zimnym silniku,Toyota 86
84,Awaria hamulców,Opóźniona reakcja hamulców,Ford Ranger
85,Problemy z układem wydechowym,Głośne dźwięki w okolicach katalizatora,Chevrolet Colorado ZR2
86,Usterki elektryczne,Nieprawidłowe działanie systemu ABS,Volkswagen Atlas Cross Sport
87,Problemy z amortyzacją,Wstrząsy podczas jazdy po nierównościach,Honda Passport
88,Usterki w systemie chłodzenia,Przegrzewanie silnika na postoju,Hyundai Nexo
89,Problemy z skrzynią biegów,Stukanie podczas zmiany biegów,Mazda CX-9
90,Usterki w systemie paliwowym,Problemy z czujnikiem paliwa,Subaru Crosstrek
91,Problemy z układem wydechowym,Stłumione dźwięki z rury wydechowej,Chevrolet Silverado Trail Boss
92,Usterki w systemie klimatyzacji,Nagłe przegrzewanie się kompresora,Nissan Titan XD
93,Problemy z silnikiem,Wibracje silnika podczas jazdy,Toyota Tundra
94,Awaria hamulców,Opóźniona reakcja hamulców,Ford F-150 Lightning
95,Problemy z układem wydechowym,Głośne trzaski podczas jazdy,Chevrolet Camaro
96,Usterki elektryczne,Niesprawny wskaźnik paliwa,Volkswagen Golf GTI
97,Problemy z amortyzacją,Stukanie w zawieszeniu,Honda CR-Z
98,Usterki w systemie chłodzenia,Nadmierne zużycie płynu chłodniczego,Hyundai Veloster N
99,Problemy z skrzynią biegów,Trzeszczenie podczas zmiany biegów,Mazda MX-5 RF
100,Usterki w systemie paliwowym,Problemy z wtryskiem paliwa,Subaru Outback Wilderness
101,Problemy z silnikiem,Nierówna praca na zimnym silniku,Toyota GR Supra
102,Awaria hamulców,Piski i trzeszczenia podczas hamowania,Ford Mustang Mach-E
103,Problemy z układem wydechowym,Problemy z czujnikiem tlenu,Chevrolet Corvette Stingray
104,Usterki elektryczne,Niesprawne szyby elektryczne,Volkswagen ID.4
105,Problemy z amortyzacją,Tłumiki wydają nietypowe dźwięki,Honda Odyssey
106,Usterki w systemie chłodzenia,Wycieki oleju z amortyzatorów,Hyundai Palisade Calligraphy
107,Problemy z skrzynią biegów,Trudności w wrzucaniu biegu wstecznego,Mazda CX-30 Turbo
108,Usterki w systemie paliwowym,Wysoka konsumpcja paliwa,Subaru WRX STI
109,Problemy z układem wydechowym,Świst podczas jazdy na wyższych obrotach,Chevrolet Trailblazer RS
